Date_time,city,state/province,country,UFO_shape,length_of_encounter_seconds,described_duration_of_encounter,description,date_documented,latitude,longitude
4/20/2003 22:30,chadron&#44 ne/oelrichs&#44 sd (between),ne,,light,2,seconds,saw a light driving home from friends house,11/26/2003,42.829419,-102.999907
08/06/2013 21:00,hartford,ny,us,light,600.0,10 minutes,Hovering bright purpe/orange/green object&#44 50 feet above vehicle&#44 farm country.,8/30/2013,43.3636111,-73.3941667
7/17/1977 15:00,fairview,nj,us,circle,30,30 seconds,A flying globe looking object.,3/21/2014,40.8125,-73.9994444
9/17/2011 20:45,lake in the hills,il,us,triangle,900.0,15 min,Strange glowing orange orb UFO lights northwest Chicago il,10/10/2011,42.1816667,-88.3302778
7/15/2002 22:00,tillamook (15 miles sw; cape lookout),or,us,light,5400,approx. 1.5 hrs,My family and I observed a large bright as it moved north out over the Pacific ocean off of the northernm Oregon coast.,7/30/2002,45.4563889,-123.8427778
12/09/2006 20:01,wewahitchka,fl,us,fireball,60,about a minute,Bright red &quot;fireball&quot; lasting about a minute then faded out&#44 seconds later a white &quot;shooting star&quot;??? came into the area and then disap,12/14/2006,30.1125,-85.2005556
10/05/2011 20:34,rockton,il,us,cone,360,6 min,It looked like a planet like Jupiter.,10/10/2011,42.4525,-89.0722222
4/23/2014 20:15,clovis,nm,us,unknown,120,2 minutes,Bright solid light moveing east then changed to southeast. The bright light faded to a solid red then faded out.,4/24/2014,34.4047222,-103.2047222
8/16/2012 22:00,wildwood,nj,us,unknown,5.0,5 sec,Very fast sighting of a light traveling at a speed that was incredible .,9/24/2012,38.9916667,-74.8152778
3/27/2005 20:26,milton,vt,us,unknown,1.5,1.5 seconds,Two bright white flashes seen in the S/SE at around 35-40 degrees above horizon from Milton&#44 VT.,05/11/2005,44.6397222,-73.1108333
9/21/2008 03:15,san fernando,ca,us,sphere,2700.0,45min,Dividing object over San Fernando 9/21/08 followed by two jets...,10/31/2008,34.2819444,-118.4380556
8/21/2004 22:30,new fairfield,ct,us,triangle,180.0,3 minutes,Triangular grouping at high altitude slowly moves and vanishes  ((U.S. Navy &quot;triplet&quot; of satellites??)),8/24/2004,41.4663889,-73.4861111
01/07/2014 19:00,mayville,wi,us,light,15,15 seconds,Row of 4 orange lights both moving and stationary.,01/10/2014,43.4941667,-88.5447222
09/01/2013 21:00,beavercreek,oh,us,fireball,600.0,10 minutes,7 fireballs in the sky over Beavercreek&#44 Ohio.,09/09/2013,39.7091667,-84.0633333
11/03/2005 17:40,vail,co,us,disk,6,5-6 seconds,MUFON COLORADO REPORT:  Glowing disc seen below clouds.,11/08/2005,39.6402778,-106.3736111
06/01/2010 00:45,dayton,oh,us,triangle,300,5 minutes,Elongated triangular shaped craft seen over east Dayton&#44 flying south before splitting into 2 seperate lights.,06/03/2010,39.7588889,-84.1916667
7/20/1978 21:00,campbell river (canada),bc,ca,,10,10 seconds,Two bright lites hovering approximately 30&#44000 feet&#44they almost collided then flew off in opposite directions.,12/02/2000,50.016667,-125.25
9/22/2007 17:30,la mesilla,nm,us,circle,5400.0,approx 90 minutes,Saw a light above &amp; to right of moon that moved steadily at a very low rate of speed to L of moon.  ((NUFORC Note:  Jupiter?  PD)),10/08/2007,35.9483333,-106.07
06/01/2002 03:00,bradenton,fl,us,formation,120,2 min,6 black objects&#44 no sound&#44 no lights&#44 high rate of speed&#44 flying in formation at 3:00 am,4/27/2007,27.4986111,-82.575
3/22/2010 21:00,portage,mi,us,sphere,30,30 seconds,Spherical&#44 silent&#44 quick&#44 lit up from inside&#44 left a trail.,4/13/2010,42.2011111,-85.58
8/13/2012 20:45,bangor,me,us,light,120.0,2 minutes,Single light slowly moves across the horizon.  ((NUFORC Note:  Possible sighting of ISS??  PD)),8/19/2012,44.8011111,-68.7783333
7/25/1999 20:40,moses lake,wa,us,sphere,300,2-5 minutes,Small distant luminescent sphere&#44 looking somewhat like a star but much larger and during mostly daylight.,08/10/1999,47.1302778,-119.2769444
9/21/2004 20:25,eagle,wi,us,oval,120.0,2 minutes,at approx. 20:25 pm tonight while traveling east on state hyw. 59 from Palmyra to eagle&#44 WI. with my family wherew hyw Z intersects hyw,9/29/2004,42.8794444,-88.4741667
7/27/2013 22:45,white lake,mi,us,rectangle,180,3 minutes,Noticed 7 to 8 orange objects move across the sky&#44 from West to East&#44 in White Lake&#44 MI.,8/30/2013,42.6916667,-83.5541667
8/17/1955 21:00,covina,ca,us,disk,600.0,10 minutes,It was about 1500 ft up. It just stayed there in one spot for 10 mins then was gone.,9/29/2004,34.09,-117.8894444
4/25/1987 14:30,bacolod city (occidental province) (philippines),,,light,120,more than 2-min/less than,Daylight &quot;disc&quot; ? Over Negros Island&#44 Philippines&#44 by amateur astronomer working on Observatory dome,1/17/2004,10.640739,122.968956
7/13/2005 01:30,sydney (nsw&#44 australia),,au,fireball,420,7min,Orange ball of light with no tail traveled from North East to South West and disappeared.There was no visable trail on the orange b,7/13/2005,-33.861481,151.205475
6/21/2013 22:00,prospect heights,il,us,sphere,600,10 minutes,Orange spheres spotted over Northwest suburbs of Illinois.,07/03/2013,42.0952778,-87.9375
10/16/2012 11:45,johnson city,tn,us,cylinder,420,7 minutes,Silver&#44 slowly rotating&#44 pole shaped object - broad daylight,10/30/2012,36.3133333,-82.3536111
11/23/2003 23:00,santa maria,ca,us,light,10,0.1,six red lights moving away from each other,11/26/2003,34.9530556,-120.4347222
09/06/2012 09:12,north falmouth,ma,us,unknown,60.0,1 minute,Driving home from work&#44 saw a huge black object in the sky with small green lights all over the base of the object. It was completely s,9/24/2012,41.6458333,-70.6188889
3/15/2014 21:50,orangevale,ca,us,light,600,10 minutes,Bright Amber Intelligently controlled Aircraft rising like bees from a hive in Orangevale&#44 CA.,04/11/2014,38.6786111,-121.2247222
6/23/2012 01:00,gorge,wa,,fireball,300,5 minutes,Fireball Sphere in the sky,11/04/2012,48.823176,-121.89848
08/04/2002 22:00,sault ste. marie (canada),on,,formation,300.0,5 minutes,red blinking light over water,8/16/2002,46.521858,-84.34609
7/23/2011 23:00,jackson hole,wy,,triangle,600,10 minutes,Black triangle above grand Teton maybe 2 miles wide corner to corner,08/05/2012,43.479929,-110.762428
5/14/2010 23:30,manchester-by-the-sea,ma,,sphere,120,about 2 minutes.,I witnessed a bright orange glowing object in the sky on a starless night&#44 and disappear as a plane flew near.,06/03/2010,42.577834,-70.767597
10/30/2008 17:30,mesa,az,us,formation,2400,40 min,4 Orbs over Mesa&#44 Arizona seen by at least three witnesses.,10/31/2008,33.4222222,-111.8219444
09/02/2005 09:40,lynchburg,va,us,cigar,180.0,3 minutes,White cigar shaped object was stationary in the sky and then it was simply no longer there.,9/15/2005,37.4136111,-79.1425
8/15/2013 21:45,sterling heights,mi,us,light,50.0,50 seconds,Observed two plasma like orbs of difused light moving East to west at afast clip and low altitude.,8/30/2013,42.5802778,-83.0302778
12/24/2011 20:00,west jordan,ut,us,fireball,600,5-10 mins,4 red orbs over West Jordan&#44 UT. on Christmas Eve 2011,07/04/2012,40.5,-111.95
07/11/1999 17:30,baileys cross roads (just outside wash dc),va,,oval,900,15 mins,sighting of 4 oval objects that did not look like balloons or aircraft,08/10/1999,38.850229,-77.131079
05/03/2011 21:00,redwood city,ca,us,sphere,300,3-5 mins,Redwood City Sphere&#44 third sighting,05/12/2011,37.4852778,-122.2352778
